Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance
2.954,5.172167024091101,4.898160718650419,-4.9087831575,-1.54371774,-0.52162743117,-0.26874667807,-4.7847576266,1.0128415984,26.281703392793524
2.955,5.167723344142246,4.891847818015804,-4.903877593,-1.5427944744,-0.52643548914,-0.26816935162,-4.7770460297,1.0188677557,26.28398886902329
2.956,5.1632576748234,4.885522465760274,-4.8989404409,-1.5418646426,-0.53128692534,-0.26758996507,-4.7693043065,1.0249203901,26.28628517623606
2.957,5.158794201164151,4.879163470157614,-4.893994315,-1.5409357295,-0.53618497952,-0.26701628145,-4.7615123446,1.0309891688,26.288592364919722
2.958,5.154331548973524,4.872791393818936,-4.88903296,-1.5400233596,-0.54112705039,-0.26644845412,-4.7536871919,1.0370917368,26.290910496021457
2.959,5.149862785683308,4.8664115198864435,-4.8840520173,-1.5391159572,-0.54611782059,-0.26585983193,-4.7458367629,1.0432224358,26.29323963340666
2.96,5.145416830540243,4.860025827920798,-4.8790860974,-1.5382036513,-0.55114675114,-0.26527079042,-4.7379642128,1.0493700844,26.29557983869805
2.961,5.140978434094237,4.853650646660149,-4.8741160649,-1.5372941838,-0.5562179772,-0.26468090241,-4.7300856512,1.055536997,26.29793116113431
2.962,5.136547321399458,4.847265534736819,-4.8691362919,-1.5364000843,-0.5613420854,-0.26408939287,-4.722182618,1.0617114858,26.300293651103363
2.963,5.132126362833107,4.840854354783209,-4.8641520593,-1.5355119767,-0.56652336007,-0.2634944231,-4.7142312751,1.0679255864,26.302667377078993
2.964,5.127718249921204,4.834439164655453,-4.8591712647,-1.5346197591,-0.57174405626,-0.26288489913,-4.7062614994,1.0741490892,26.305052409937016
2.965,5.123333406731355,4.828019599435422,-4.8542008635,-1.5337371099,-0.57700056416,-0.26227160827,-4.6982723692,1.0803812294,26.307448778783783
2.966,5.118977878930595,4.821594247387473,-4.8492478289,-1.5328638618,-0.58228721442,-0.26164882299,-4.6902498235,1.0866773086,26.309856550018672
2.967,5.114659642958816,4.815193338725677,-4.8443183437,-1.5320046995,-0.58760926551,-0.2610042607,-4.6822370757,1.0929865654,26.31227579324624
2.968,5.110363139649526,4.808786123515872,-4.8393962894,-1.5311602419,-0.59296145478,-0.2603441027,-4.6742026563,1.099306353,26.31470654599957
2.969,5.106104178435747,4.802337266926277,-4.834499493,-1.5303329829,-0.59832724714,-0.25968622577,-4.6661084962,1.1056390872,26.317148834233034
2.97,5.101870054113474,4.795884976582655,-4.8296102947,-1.5295306892,-0.60372039984,-0.25901693098,-4.6579954157,1.1119809555,26.31960267797592
2.971,5.097648968318803,4.789457060265436,-4.8247134289,-1.5287645011,-0.60913416697,-0.25832832511,-4.6498918994,1.1183339092,26.3220681053856
2.972,5.093451560039463,4.783065193274306,-4.819821692,-1.5280250781,-0.61457872766,-0.25763066135,-4.6418076323,1.1247048458,26.324545146285665
2.973,5.089283173733065,4.776712912945954,-4.8149397337,-1.5273220804,-0.62003697148,-0.256928901,-4.6337450168,1.1310972159,26.327033843203555
2.974,5.085118886764951,4.770374687563926,-4.8100392597,-1.5266542624,-0.62552631901,-0.25621473277,-4.6256820693,1.1374946436,26.329534218451208
2.975,5.080980122470541,4.764041896517252,-4.8051429304,-1.5260217188,-0.63104527343,-0.25548773748,-4.6176066881,1.1439098224,26.332046310245403
2.976,5.076902447947542,4.757737693857276,-4.8002888317,-1.5254329104,-0.63656895471,-0.25475250929,-4.6095473611,1.1503226714,26.33457013132178
2.977,5.072839925994262,4.751448082488502,-4.7954250456,-1.5248918295,-0.64211249413,-0.25401217238,-4.6014820219,1.1567626805,26.337105703052316
2.978,5.068794560529348,4.745186763955538,-4.7905550388,-1.5243960353,-0.64767078415,-0.25327257933,-4.5934320782,1.1631991095,26.339653044299137
2.979,5.064803090785539,4.738984503690176,-4.7857174924,-1.5239507511,-0.65323237794,-0.25253496333,-4.5854238097,1.1696532409,26.34221216076985
2.98,5.060834080881041,4.732807790537271,-4.7808803209,-1.5235450893,-0.65881356415,-0.25179168226,-4.5774212796,1.1761313532,26.34478308101456
2.981,5.056872877176321,4.726623105684558,-4.7760238597,-1.5231913415,-0.66441517493,-0.25104180192,-4.5693898114,1.1826329728,26.347365836214387
2.982,5.052938826293845,4.720471320874401,-4.7711713954,-1.5228814433,-0.67003463167,-0.25025758453,-4.561380085,1.1891309233,26.34996045360314
2.983,5.049029031239348,4.7143418110021615,-4.7663207174,-1.5226150089,-0.67566597654,-0.24947212104,-4.553376209,1.1956368475,26.352566932414504
2.984,5.045168880415111,4.708250439832983,-4.7614972687,-1.5223970385,-0.68130760251,-0.24868432169,-4.5453975889,1.2021393726,26.35518528647334
2.985,5.04135382526659,4.70220189728757,-4.756697494,-1.522223102,-0.68696009334,-0.2478872716,-4.5374463372,1.208650206,26.357815519695404
2.986,5.037555635810981,4.696180270440276,-4.7518920187,-1.5220853966,-0.69263632013,-0.24707606632,-4.5295087804,1.2151595608,26.36045765233042
2.987,5.033777246628398,4.690186775042717,-4.7470874857,-1.5219788959,-0.69832228392,-0.24626704998,-4.521585447,1.2216667182,26.363111689116288
2.988,5.030005236838868,4.684215917162808,-4.7422699362,-1.5219003205,-0.7040226909,-0.24546122483,-4.5136723484,1.2281650854,26.365777627654474
2.989,5.026247073177705,4.678261354808194,-4.7374495123,-1.5218434027,-0.70973545543,-0.24467101305,-4.5057602617,1.2346618417,26.368455467865047
2.99,5.0225196613977205,4.6723145040393605,-4.7326445583,-1.521809221,-0.71545505016,-0.2439037853,-4.4978404065,1.2411548839,26.371145208216596
2.991,5.018838895141304,4.666369749773016,-4.7278732828,-1.5217895805,-0.72118967675,-0.24312746902,-4.4899059382,1.247653935,26.373846849173177
2.992,5.01518333383149,4.6604395759079305,-4.7231121384,-1.5217897099,-0.72693306355,-0.24235182792,-4.4819764386,1.2541331014,26.3765604009989
2.993,5.011539978836597,4.654543700077478,-4.718352073,-1.5217930138,-0.7326886773,-0.24156969002,-4.4740670251,1.2606131031,26.379285846896103
2.994,5.007917793535129,4.648680357499273,-4.7135961218,-1.5218133552,-0.73846891559,-0.24078890565,-4.4661769532,1.2670884704,26.38202321105789
2.995,5.004306455819061,4.642829542089163,-4.70883427,-1.5218465917,-0.74427540115,-0.24001390612,-4.4582882317,1.2735483991,26.384772491422392
2.996,5.000701411814779,4.636982171028988,-4.704059256,-1.5218992976,-0.75010909482,-0.23925202634,-4.4503745256,1.2800502741,26.38753372010639
2.997,4.997103778277667,4.631181428303718,-4.6992733065,-1.5219689605,-0.75596762164,-0.23851554185,-4.4424870009,1.2865694715,26.390306950532036
2.998,4.993513988241183,4.62541616893237,-4.6944748666,-1.522062569,-0.76184855035,-0.23778261889,-4.4346183477,1.2930948427,26.393092201915554
2.999,4.98994051437756,4.619660351560368,-4.6896737928,-1.5221756279,-0.76775478636,-0.23704771268,-4.4267492554,1.2996003907,26.395889484085643
3.0,4.986386650773667,4.6139115001697055,-4.6848757542,-1.5223077571,-0.77367311663,-0.23631205166,-4.4188600351,1.3061439185,26.398698818130438
3.001,4.982850692724072,4.608215548204987,-4.6800816226,-1.5224510965,-0.77960226433,-0.23561240872,-4.411011221,1.3126756415,26.40152021807026
3.002,4.979324919858023,4.602540686068486,-4.6752783762,-1.52261162,-0.78555879296,-0.23490797254,-4.403167456,1.3192101295,26.404353692853427
