Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance,X1,Y1,Z1,X2,Y2,Z2
6.704,2.8714909499490124,2.7718410322986338,-0.27527175882,0.44028035181,-2.8241527838,-0.21289530569,0.095167846308,2.7620140076,52.23352224172587,-0.29618892254,1.0330665962,-25.988252245,-0.49000745172,0.37470971995,26.240761209
6.705,2.87159000699414,2.77065127122285,-0.27540065641,0.44019705236,-2.8242539195,-0.21283144447,0.095038289421,2.7608293983,52.239111504677915,-0.2964642586,1.0335068347,-25.991076449,-0.49022031548,0.37480482297,26.243522631
6.706,2.8716829366347842,2.7694567501096174,-0.27553184661,0.44011450092,-2.8243484764,-0.212762822,0.094908019843,2.7596404005,52.244699680168566,-0.29673972476,1.0339469906,-25.99390075,-0.49043311299,0.37489979617,26.246282867
6.707,2.8717690993143674,2.7682594596967482,-0.27566294849,0.44003231112,-2.8244360966,-0.21268544591,0.0947749507,2.7584493916,52.25028675819221,-0.29701532209,1.0343870639,-25.996725143,-0.49064583805,0.37499463804,26.249041912
6.708,2.8718497777226197,2.7670550360587254,-0.27579258999,0.43994892497,-2.824518461,-0.21259967115,0.09463459081,2.7572521188,52.255872728783814,-0.29729104989,1.0348270547,-25.999549621,-0.49085848116,0.37508934351,26.251799763
6.709,2.8719249094767965,2.765842892769182,-0.27592418679,0.43986431225,-2.8245951773,-0.21250671859,0.09448688021,2.7560479008,52.26145757999808,-0.29756690815,1.0352669614,-26.002374178,-0.49107103492,0.37518390469,26.254556414
6.71,2.8719927672534404,2.7646234992747396,-0.27605909786,0.43977874757,-2.8246643133,-0.2124072118,0.094336351445,2.7548370046,52.267041298856164,-0.29784289947,1.0357067831,-26.005198809,-0.49128349248,0.37527831646,26.257311857
6.711,2.872052645756909,2.7633948015893037,-0.27619664659,0.43969098921,-2.8247254108,-0.2123001267,0.094182680718,2.7536174586,52.2726238683335,-0.29811902699,1.0361465181,-26.008023504,-0.49149584674,0.37537257633,26.260066085
6.712,2.872109542714194,2.7621543631397807,-0.2763370517,0.43960253236,-2.8247832966,-0.21218635511,0.094024927791,2.7523867805,52.27820527442512,-0.29839529342,1.036586165,-26.010848259,-0.4917080904,0.37546668061,26.262819088
6.713,2.8721650437610458,2.760910268172986,-0.27648194184,0.43951390612,-2.8248393407,-0.21206809347,0.093862029289,2.7511529496,52.28378550515397,-0.29867170284,1.0370257233,-26.01367307,-0.49192021828,0.37556062452,26.265570858
6.714,2.8722199451893884,2.7596604002678604,-0.27662784045,0.43942222659,-2.8248951411,-0.21194002325,0.093693997398,2.7499142507,52.289364558535055,-0.29894825733,1.0374651916,-26.016497938,-0.49213222309,0.37565440292,26.268321392
6.715,2.8722680636600257,2.7583984327106243,-0.27677349244,0.43932815846,-2.82494443,-0.21180522448,0.093522857851,2.7486640274,52.29494242155066,-0.29922495848,1.0379045669,-26.019322858,-0.49234409606,0.37574801145,26.271070682
6.716,2.8723113848397785,2.757125243623323,-0.27691785785,0.43923198128,-2.8249892846,-0.21166526311,0.093347876484,2.7474030646,52.30051907820331,-0.29950180406,1.0383438472,-26.022147825,-0.49255583176,0.37584144727,26.273818717
6.717,2.8723508068923524,2.75584157117451,-0.27706260756,0.43913495731,-2.825030258,-0.21151871885,0.093168748697,2.7461322221,52.30609451250438,-0.29977879428,1.0387830306,-26.024972835,-0.49276742441,0.37593470613,26.276565485
6.718,2.872388699196112,2.754549773162771,-0.27720913988,0.43903653584,-2.8250697075,-0.2113622369,0.092981615623,2.7448542542,52.31166871449341,-0.30005593004,1.0392221164,-26.027797885,-0.4929788658,0.37602778182,26.279310979
6.719,2.8724188214560225,2.7532527477228657,-0.27735860165,0.43893780635,-2.825101006,-0.2111987778,0.092790159776,2.743571715,52.317241674194534,-0.30033321372,1.0396611035,-26.030622972,-0.4931901469,0.37612066829,26.282055192
6.72,2.8724403975546102,2.751942884723572,-0.27750972061,0.43883769813,-2.8251236552,-0.21102382346,0.092590251855,2.7422774535,52.322813374643985,-0.30061064773,1.0400999914,-26.033448085,-0.49340125927,0.37621335936,26.284798118
6.721,2.8724553295333486,2.750623884280481,-0.27766220909,0.43873781436,-2.8251393679,-0.21084392035,0.092385524088,2.7409745546,52.32838379589176,-0.30088823393,1.0405387791,-26.036273217,-0.49361219311,0.37630584707,26.287539744
6.722,2.872462996234647,2.7493019779112564,-0.27781227395,0.43863754481,-2.8251479801,-0.21065930773,0.092180495609,2.7396691001,52.3339529269514,-0.30116597093,1.0409774668,-26.039098361,-0.49382294546,0.37639813041,26.290280066
6.723,2.872467600994662,2.747969838117046,-0.27796717143,0.43853747797,-2.8251529606,-0.21046448842,0.091970852572,2.7383543037,52.339520756820406,-0.30144386037,1.0414160541,-26.041923511,-0.49403350801,0.37649020661,26.293019079
6.724,2.872467778965253,2.7466340700060687,-0.27812153451,0.43843755446,-2.8251534585,-0.21026687243,0.091755012827,2.7370362757,52.345087274551524,-0.30172190479,1.0418545418,-26.044748665,-0.49424387358,0.37658206983,26.295756774
6.725,2.872457965337818,2.7452975662723302,-0.27827753021,0.43833703082,-2.8251437178,-0.21007234898,0.091535279947,2.7357173882,52.35065247220418,-0.30200010412,1.0422929292,-26.047573815,-0.49445404317,0.37667371532,26.298493151
6.726,2.8724403162287198,2.7439562561917024,-0.27843503987,0.43823682559,-2.8251257996,-0.20987161689,0.09131034233,2.7343943135,52.356216336825135,-0.30227846026,1.0427312161,-26.05039895,-0.49466401595,0.37676513877,26.301228208
6.727,2.872412055800531,2.7426095176334178,-0.27859023835,0.43813503954,-2.8250975531,-0.20966460878,0.091081013416,2.7330664037,52.36177885446001,-0.30255697333,1.0431694022,-26.053224063,-0.49487378441,0.37685633446,26.303961938
6.728,2.872375839764761,2.7412609619746395,-0.27874494418,0.43803073735,-2.8250616443,-0.20945170493,0.090847141506,2.7317372571,52.36734001311648,-0.30283564042,1.0436074852,-26.056049143,-0.495083343,0.37694729909,26.30669434
6.729,2.872336035591619,2.739911168657379,-0.27890354068,0.43792735083,-2.8250215489,-0.20923913108,0.090608320057,2.7304069899,52.37289980682992,-0.30311446449,1.0440454641,-26.058874185,-0.49529268795,0.37703802727,26.309425413
6.73,2.872290188727434,2.7385571257664503,-0.27906183077,0.43782695994,-2.8249748629,-0.20902552718,0.090362527479,2.7290727498,52.37845822570533,-0.30339344705,1.0444833411,-26.061699184,-0.49550182101,0.37712851339,26.312155152
6.731,2.872235498950696,2.7372032820475636,-0.27922300898,0.4377270985,-2.8249188059,-0.20880327224,0.090111741567,2.7277395174,52.38401526383026,-0.3036725892,1.0449211181,-26.064524132,-0.49571073588,0.3772187507,26.314883559
6.732,2.8721724541999887,2.735843074677452,-0.27938668986,0.4376300777,-2.8248535536,-0.20857936171,0.089855697369,2.7264001784,52.38957090524585,-0.30395189388,1.0453587963,-26.067349018,-0.49591942704,0.37730873517,26.317610629
6.733,2.8721022054368586,2.734474947165744,-0.27954807049,0.43753535482,-2.8247808354,-0.20835527261,0.089589918585,2.7250532038,52.3951251391041,-0.30423136164,1.0457963791,-26.070173836,-0.4961278947,0.37739845859,26.320336357
6.734,2.872019033202609,2.7331041810967696,-0.27970767552,0.43744091811,-2.8246950962,-0.20812358953,0.089320835356,2.7237042469,52.40067794650065,-0.30451098918,1.046233867,-26.072998575,-0.49633613481,0.37748791423,26.323060735
6.735,2.8719231730240655,2.7317333302750666,-0.27987083654,0.43734687537,-2.8245960308,-0.20788822469,0.089049214239,2.7223555446,52.406229316457164,-0.30479077819,1.046671261,-26.075823222,-0.49654414082,0.37757709946,26.325783765
6.736,2.871820042226207,2.7303615067862257,-0.28003552495,0.43725339355,-2.8244893219,-0.20765067834,0.088771264734,2.7210062139,52.411779236010034,-0.30507073139,1.0471085609,-26.078647765,-0.49675191055,0.37766601028,26.328505446
6.737,2.8717159018952576,2.728988088436247,-0.28019900826,0.43716315915,-2.8243811905,-0.20740698151,0.088490431592,2.7196558191,52.41732770025379,-0.30535084888,1.0475457692,-26.0814722,-0.49695943995,0.37775464101,26.331225777
6.738,2.8716054786843674,2.7276118547568613,-0.28035925016,0.43707325452,-2.824266929,-0.20715849013,0.088209109371,2.7183029528,52.42287470619972,-0.30563112831,1.0479828872,-26.084296525,-0.49716672278,0.37784299136,26.333944757
6.739,2.8714885588268677,2.726234017870348,-0.28051519088,0.43698556803,-2.8241461337,-0.2069118041,0.087920486529,2.7169485482,52.428420241943286,-0.30591156597,1.0484199164,-26.087120732,-0.49737375738,0.37793105642,26.336662382
6.74,2.8713660958487264,2.7248586960843673,-0.2806678732,0.43690044331,-2.8240196182,-0.20667030836,0.08762984221,2.715596308,52.43396430461101,-0.30619215775,1.0488568594,-26.089944815,-0.49758054845,0.37801883183,26.339378655
