v_mps,signal_296,signal_297
1668.256,0.0691520814539079,-1.39425446592721
1673.892,-0.26693856064796,-0.85310508859614
1679.528,-0.473492229994311,-0.759490280716607
1685.164,-0.478130100719949,-0.620652401632105
1690.8,-0.418131948783244,-0.494286451171164
1696.436,-0.678773291203577,-0.577908773124427
1702.072,-0.771806862551142,-0.536079316217112
1707.708,-0.463702049986716,-0.0944875136356607
1713.344,0.156334109610896,0.241011296019464
1718.98,0.676542645556477,0.504474744757939
1724.616,1.0400554954101,0.588853915068692
1730.252,0.631379495414716,0.565095199496434
1735.888,-0.0373176280846468,0.65922879382509
1741.524,-0.955053538377791,0.464154773691436
1747.16,-1.5015380369137,-0.0937528763376889
1752.796,-1.52816548232298,-0.403295239456028
1758.432,-0.464567883272951,-0.0996968256547275
1764.068,0.539153907443241,-0.0943311502329505
1769.704,0.738488603584189,-0.602375753690048
1775.34,-0.349598919107144,-1.23554626997545
1780.976,-1.01611981382525,-1.09135352926515
1786.612,-1.14269624895873,-0.490961946069194
1792.248,-0.475385161407369,4.0498549935819e-07
1797.884,-0.28542811545019,0.108983212105609
1803.52,-0.582801290118012,-0.0794826787262868
1809.156,-0.71400992597543,-0.00508994574270583
1814.792,-0.484356983975708,0.325971509158238
1820.428,-0.169824716813083,0.497281893341868
1826.064,-0.100825472874725,0.728215350652137
1831.7,-0.19495140440328,0.765717781407238
1837.336,-0.380884553049551,0.702708402412045
1842.972,-0.361325302384548,0.492601560763971
1848.608,-0.323083044509304,0.278071619593674
1854.244,-0.084065309124058,0.140441484124019
1859.88,-0.0477064330741299,-0.214909066137593
1865.516,-0.460730484962048,-0.935962636890873
1871.152,-0.770210372317614,-1.19544781780231
1876.788,-0.662199750991862,-0.922282269895476
1882.424,-0.101910315791585,-0.210467895755597
1888.06,0.413254274336468,0.091197694192922
1893.696,0.449844594188014,0.0285989472190002
1899.332,0.233226568166182,-0.260700974273533
1904.968,0.099669381844085,-0.372729549452975
1910.604,0.175555004059067,-0.320467622488074
1916.24,0.0577060465185164,-0.509571112488645
1921.876,-0.159548549516003,-0.752261000623397
1927.512,-0.57655211143152,-0.995547602633822
1933.148,-0.802380812516986,-0.853007456937468
1938.784,-0.59152152563199,-0.58623756185474
1944.42,-0.298726882449861,-0.580361791472586
1950.056,-0.0181969444618371,-0.53816238882537
1955.692,-0.037902131651935,-0.491750046784739
1961.328,-0.159501280694973,-0.286155816963011
1966.964,-0.232348158534851,-0.08484450769462
1972.6,-0.146661197697276,-0.0307843455211599
1978.236,0.00640116387808509,-0.117236297245616
1983.872,0.21129675757312,-0.127288375918278
1989.508,0.089848850550424,-0.19431112314391
1995.144,-0.088331351196859,-0.259108907683516
2000.78,-0.261600817676553,-0.363587752200092
2006.416,-0.288270288010366,-0.25263353744812
2012.052,-0.0739933940767326,0.173652240919834
2017.688,0.0968421729885859,0.40334314086839
2023.324,0.176474406803327,0.42665703305513
2028.96,0.131498135919631,0.26765996217616
2034.596,0.0500294900260293,0.105884995115703
2040.232,0.0132208627810805,0.0186186419983393
2045.868,0.00140262895833592,0.00140014411238172
2051.504,0,0
2057.14,0,0
2062.776,0,0
2068.412,0,0
2074.048,0,0
2079.684,0,0
2085.32,0,0
2090.956,0,0
2096.592,0,0
2102.228,0,0
2107.864,0,0
2113.5,0,0
2119.136,0,0
2124.772,0,0
2130.408,0,0
2136.044,0,0
2141.68,0,0
2147.316,0,0
2152.952,0,0
2158.588,0,0
2164.224,0,0
