t_ps,atom_idx,dE_eV,E0_eV
1.2500000000000000e+00,499,1.7637479874806850e-02,1.5311330900358180e-01
1.2500000000000000e+00,549,8.8841884749751021e-03,1.3219035019556763e-01
1.2500000000000000e+00,637,1.0888694735806767e-02,1.2009043467164594e-01
1.2500000000000000e+00,705,6.8477943920331463e-03,1.3442782617599314e-01
1.2500000000000000e+00,727,4.7727965842703779e-03,1.5636381260533219e-01
1.2500000000000000e+00,826,8.6261988266649187e-03,1.1662528718528999e-01
1.2600000000000000e+00,33,1.1056195520880024e-02,1.2566273199898831e-01
1.2600000000000000e+00,153,1.5237957610307939e-02,1.4293365468586047e-01
1.2600000000000000e+00,199,1.1956488404007481e-02,1.1908930539198848e-01
1.2600000000000000e+00,222,9.7863192884002359e-03,1.3228060824499263e-01
1.2600000000000000e+00,384,5.1164726730909271e-03,1.3695255703903370e-01
1.2600000000000000e+00,385,3.1094352269079861e-03,1.4756198960728273e-01
1.2600000000000000e+00,401,8.6988164820478164e-03,1.6146866971813692e-01
1.2600000000000000e+00,453,1.4871285648749566e-02,1.5137673674419130e-01
1.2600000000000000e+00,460,9.4165173091362714e-03,1.1598924299464843e-01
1.2600000000000000e+00,468,1.2613278822497104e-03,1.2519418624733408e-01
1.2600000000000000e+00,522,6.9232548813885630e-03,1.3829339646527727e-01
1.2600000000000000e+00,549,9.3745195658891806e-03,1.2330616172059250e-01
1.2600000000000000e+00,624,8.3983063549512293e-03,1.4341087611079248e-01
1.2600000000000000e+00,638,8.2614781148893091e-04,1.4691984813393150e-01
1.2600000000000000e+00,648,3.7355419709553805e-03,1.6137955127945666e-01
1.2600000000000000e+00,657,1.0534889208875603e-02,1.5128099943546341e-01
1.2600000000000000e+00,702,1.4552007795232219e-02,1.4801449099743819e-01
1.2600000000000000e+00,714,1.4648701000120057e-03,1.4534415474046475e-01
1.2600000000000000e+00,728,9.0163497710180063e-03,1.4363199568785293e-01
1.2600000000000000e+00,732,1.5020893264979795e-03,1.1673266244095427e-01
1.2600000000000000e+00,804,1.0983945719398314e-02,1.4634128918324465e-01
1.2600000000000000e+00,828,8.4166118285281671e-03,1.2685759672531668e-01
1.2600000000000000e+00,904,1.2560209967176036e-02,1.3017043273780676e-01
1.2600000000000000e+00,936,8.9501998303344599e-03,1.4656676290059878e-01
1.2600000000000000e+00,954,1.0020780310294741e-02,1.5280132397804624e-01
1.2700000000000000e+00,56,4.2553105552685516e-03,1.1568520068813219e-01
1.2700000000000000e+00,62,5.0720275562220196e-03,1.2853874589492803e-01
1.2700000000000000e+00,65,3.6697845707380217e-03,1.3323081015569421e-01
1.2700000000000000e+00,107,1.0358899407700461e-02,1.5830111555480714e-01
1.2700000000000000e+00,123,1.0185718295539145e-02,8.9797214860953725e-02
1.2700000000000000e+00,232,1.6329675695685483e-02,1.3912122320722994e-01
1.2700000000000000e+00,308,5.3808791624473662e-03,1.4737041773721324e-01
1.2700000000000000e+00,343,5.5168300261583536e-03,1.4435889053247772e-01
1.2700000000000000e+00,390,6.2587906550786720e-03,1.6455092219881398e-01
1.2700000000000000e+00,420,1.5462019242594965e-02,1.3559662420296875e-01
1.2700000000000000e+00,509,3.5684145437178821e-03,1.2612033069815090e-01
1.2700000000000000e+00,528,8.4524659360380450e-03,1.4843910638859575e-01
1.2700000000000000e+00,535,1.4872137343099529e-02,1.5354281179282273e-01
1.2700000000000000e+00,541,1.4644796382438069e-02,1.4617234902370951e-01
1.2700000000000000e+00,595,1.6391808023455051e-02,1.5457508919359089e-01
1.2700000000000000e+00,635,8.8354862453040861e-03,1.4701492296721907e-01
1.2700000000000000e+00,637,4.3599064437541413e-03,1.0920173993583916e-01
1.2700000000000000e+00,653,1.2537750761556721e-02,1.3670392442406715e-01
1.2700000000000000e+00,697,1.5438106216506403e-02,1.4455476498125872e-01
1.2700000000000000e+00,706,4.8146731050987823e-03,1.5810912246206749e-01
1.2700000000000000e+00,724,3.7964714658204890e-03,1.3960583596023068e-01
1.2700000000000000e+00,732,1.2595315049831787e-02,1.1523057311445629e-01
1.2700000000000000e+00,742,1.0153806276112787e-02,1.2191301365646541e-01
1.2700000000000000e+00,753,5.5942582052105061e-03,1.1178882568166096e-01
1.2700000000000000e+00,766,2.0010808515857070e-03,1.3805963312800698e-01
1.2700000000000000e+00,834,4.2969019119098451e-03,1.6054771518554581e-01
1.2700000000000000e+00,838,1.4828023834935117e-02,1.4746854341946070e-01
1.2700000000000000e+00,879,8.3303651427213410e-03,1.1844912679450964e-01
1.2800000000000000e+00,7,2.4390194735493809e-03,1.1669623972878893e-01
1.2800000000000000e+00,13,6.0485545717301054e-03,1.2078847779073013e-01
1.2800000000000000e+00,94,1.2794622398958955e-02,1.1641293467478747e-01
1.2800000000000000e+00,108,5.3390146222642848e-03,1.1346528279765626e-01
1.2800000000000000e+00,153,5.7744146457582440e-03,1.2769569707555259e-01
1.2800000000000000e+00,191,6.5704535858122637e-03,1.1798176111667066e-01
1.2800000000000000e+00,271,7.9321220953950389e-03,1.3904698094042589e-01
1.2800000000000000e+00,290,1.4896569385919323e-04,1.3598874171596306e-01
1.2800000000000000e+00,376,1.2173081565018937e-02,1.2171561618276301e-01
1.2800000000000000e+00,440,1.4838457090694951e-02,1.3177367946785867e-01
1.2800000000000000e+00,456,1.2158511316015752e-02,1.4858933340843325e-01
1.2800000000000000e+00,473,4.9767267983946706e-05,1.3491134598924479e-01
1.2800000000000000e+00,481,1.4904322418235236e-02,1.2902460997209705e-01
1.2800000000000000e+00,590,7.0572989751488679e-03,1.4201163791970522e-01
1.2800000000000000e+00,615,7.3786483629792177e-03,1.6455092219881398e-01
1.2800000000000000e+00,628,1.4329828918935472e-02,1.5014650901168552e-01
1.2800000000000000e+00,635,8.4058206386720957e-03,1.3817943672191496e-01
1.2800000000000000e+00,637,6.9309942627207022e-03,1.0484183349208506e-01
1.2800000000000000e+00,690,4.9463479649738962e-04,1.3312552695050670e-01
1.2800000000000000e+00,803,5.8037501610669062e-03,1.3293562665282999e-01
1.2800000000000000e+00,828,5.7297467647617478e-03,1.1844098489678850e-01
1.2800000000000000e+00,835,5.1891772426151672e-03,1.4432144761403598e-01
1.2800000000000000e+00,910,8.7889394896593642e-03,1.3662360319709496e-01
1.2800000000000000e+00,976,9.2095992985722908e-03,1.1193108669467670e-01
1.2800000000000000e+00,998,5.4509947886492716e-03,1.2586936682766459e-01
1.2900000000000000e+00,107,1.1856873701374143e-02,1.4794221614710662e-01
1.2900000000000000e+00,157,7.9061776039315024e-03,1.3612467440231660e-01
1.2900000000000000e+00,205,4.6219939782147501e-03,1.3882116210144688e-01
1.2900000000000000e+00,225,1.0662292506407045e-03,1.2821733625999646e-01
1.2900000000000000e+00,234,1.0769985134390550e-02,1.3450400157334313e-01
1.2900000000000000e+00,278,2.4298489909191368e-04,1.4446109361923395e-01
1.2900000000000000e+00,284,7.6489367331445263e-03,1.0683975044350975e-01
1.2900000000000000e+00,297,4.1173225662694823e-03,1.6455092219881398e-01
1.2900000000000000e+00,311,2.5399548298048608e-03,1.2512282970474051e-01
1.2900000000000000e+00,343,4.1593833601571151e-03,1.3884206050631939e-01
1.2900000000000000e+00,363,7.6882860700283051e-03,1.4455424309015319e-01
1.2900000000000000e+00,440,1.3654846319608560e-02,1.1693522237716363e-01
1.2900000000000000e+00,583,1.3209372388064203e-02,1.2672122095958238e-01
1.2900000000000000e+00,609,2.9307942390703612e-03,1.4919187445181181e-01
1.2900000000000000e+00,663,7.4788415881164166e-03,1.2136736617313057e-01
1.2900000000000000e+00,687,8.3989239850136566e-03,1.5473261498533009e-01
1.2900000000000000e+00,832,1.1311136380822262e-02,1.3976146592542610e-01
1.2900000000000000e+00,834,2.6436593772294348e-03,1.5625081327363594e-01
1.2900000000000000e+00,854,8.8145984906124880e-03,1.2038631540613694e-01
1.2900000000000000e+00,880,4.9682785678493713e-03,1.4713193537035740e-01
1.2900000000000000e+00,887,5.6603269033877190e-03,1.6331672828007798e-01
1.2900000000000000e+00,907,3.2875214715865214e-03,1.0904870931619191e-01
1.2900000000000000e+00,923,1.1165534679156527e-02,1.2644389257920677e-01
1.2900000000000000e+00,931,9.2679925304141042e-03,1.5302971763686865e-01
1.2900000000000000e+00,991,3.7941459524561127e-03,1.6455092219881398e-01
1.3000000000000000e+00,10,6.1459653259993419e-03,1.3462972099618295e-01
1.3000000000000000e+00,114,1.0621709698745291e-02,1.2323289039549867e-01
1.3000000000000000e+00,158,6.8157030012303138e-03,1.2701500024679338e-01
1.3000000000000000e+00,281,1.2893164116510231e-02,1.3219277124219839e-01
1.3000000000000000e+00,294,9.0144589585433588e-03,1.5965061607213132e-01
1.3000000000000000e+00,297,1.1596174737843329e-02,1.6043359963254447e-01
1.3000000000000000e+00,319,5.4480521785607028e-03,1.4416253897805703e-01
1.3000000000000000e+00,334,1.0087303021969224e-02,1.5796398562636890e-01
1.3000000000000000e+00,386,9.5543264826893071e-03,1.6455092219881404e-01
1.3000000000000000e+00,425,9.8568880031888184e-03,1.0306714618211525e-01
1.3000000000000000e+00,432,5.9773697505602907e-03,1.5546640435313058e-01
1.3000000000000000e+00,539,1.0155867245810551e-02,1.6209887597840644e-01
1.3000000000000000e+00,606,9.5040182582677435e-03,1.4396320426437387e-01
1.3000000000000000e+00,723,1.0889763514092626e-02,1.4465595552931490e-01
1.3000000000000000e+00,750,1.7531848986496429e-02,1.4836609885452839e-01
1.3000000000000000e+00,781,1.0094430237009663e-02,1.3214736097473861e-01
1.3000000000000000e+00,811,9.9765435526620871e-03,1.3478827950159439e-01
1.3000000000000000e+00,816,1.1783292963624070e-02,1.2668790296980983e-01
1.3000000000000000e+00,829,9.2843914095804281e-03,1.3835457726324760e-01
1.3000000000000000e+00,864,6.0663932501374140e-03,1.2274683002147498e-01
1.3000000000000000e+00,881,1.3685633991765200e-02,1.4515344964297663e-01
1.3000000000000000e+00,893,9.6835716695477525e-03,1.3547370568541447e-01
1.3000000000000000e+00,919,1.0234081379786319e-03,1.1390913306308217e-01
1.3100000000000001e+00,29,6.3803526843217440e-03,1.5448477374907169e-01
1.3100000000000001e+00,35,6.7947339791737116e-03,1.5510306120948630e-01
1.3100000000000001e+00,54,9.8545170245232794e-03,1.3080785576842130e-01
1.3100000000000001e+00,136,1.2751337482291930e-02,1.4216729610291920e-01
1.3100000000000001e+00,214,4.0344944315026110e-03,1.1750381635046098e-01
1.3100000000000001e+00,215,1.1660112194155581e-02,1.4655132469418330e-01
1.3100000000000001e+00,302,8.8491204680188756e-03,1.0590753553852665e-01
1.3100000000000001e+00,317,4.1892920173933618e-03,1.1720185394419338e-01
1.3100000000000001e+00,342,1.3415518038312119e-02,1.6139400669121406e-01
1.3100000000000001e+00,353,9.5468755574559805e-04,1.4278027134209473e-01
1.3100000000000001e+00,396,8.4888797806095539e-03,1.4844882849770999e-01
1.3100000000000001e+00,456,4.0364804962148004e-04,1.3643082209241750e-01
1.3100000000000001e+00,487,9.9435337449663430e-03,1.4645269406397526e-01
1.3100000000000001e+00,490,1.5053499622483174e-02,1.4407370623746099e-01
1.3100000000000001e+00,511,1.3295122189131689e-02,1.3797588047609841e-01
1.3100000000000001e+00,534,1.3302925228967893e-02,1.4818585965769693e-01
1.3100000000000001e+00,599,6.1483107111472424e-03,1.5103810304600768e-01
1.3100000000000001e+00,659,1.3726592195180326e-02,1.5201036000049747e-01
1.3100000000000001e+00,761,1.4025239471161688e-02,1.3268645912076840e-01
1.3100000000000001e+00,875,6.2252024696368841e-03,1.0921416839941576e-01
1.3100000000000001e+00,900,2.8944447383918992e-03,1.2808131625406738e-01
1.3100000000000001e+00,963,1.4907612642988760e-02,1.4524450265663300e-01
1.3100000000000001e+00,982,8.0788185544336949e-03,1.2949472068169240e-01
1.3200000000000001e+00,177,3.1420812882045623e-03,9.6170799227223616e-02
1.3200000000000001e+00,194,5.5319599738938435e-03,1.1544389279877100e-01
1.3200000000000001e+00,211,1.5008790916645087e-02,1.5077974676691022e-01
1.3200000000000001e+00,298,1.3394155651209522e-02,1.5387445605355721e-01
1.3200000000000001e+00,300,1.3127753214999066e-02,1.5166343104330726e-01
1.3200000000000001e+00,373,5.0221894193866468e-04,1.3450740438411779e-01
1.3200000000000001e+00,487,9.7982870893820184e-03,1.3650916031900892e-01
1.3200000000000001e+00,490,5.5243358116638663e-03,1.2902020661497787e-01
1.3200000000000001e+00,510,1.3942836886769283e-02,1.5186364967366467e-01
1.3200000000000001e+00,512,1.7847841469238457e-03,1.0869646245253077e-01
1.3200000000000001e+00,515,1.8604420976090330e-02,1.5978462099961133e-01
1.3200000000000001e+00,615,1.5457141798465357e-02,1.5717227383583479e-01
1.3200000000000001e+00,618,1.3484584822763282e-02,1.3279299785701607e-01
1.3200000000000001e+00,660,1.3184865432113169e-03,1.5838117237534502e-01
1.3200000000000001e+00,699,1.4761930951381050e-02,1.3509627106002753e-01
1.3200000000000001e+00,706,2.8704775988414033e-04,1.5329444935696870e-01
1.3200000000000001e+00,814,3.9295934255058618e-03,1.4668698577519457e-01
1.3200000000000001e+00,866,1.2582793098713324e-02,1.6021190643261563e-01
1.3200000000000001e+00,876,1.3329620735119674e-03,1.5261349143807154e-01
1.3200000000000001e+00,945,9.0483562310448296e-03,1.3238240125349091e-01
1.3200000000000001e+00,949,6.6171673463405745e-03,1.5221097073225115e-01
1.3300000000000001e+00,20,1.4543874242292448e-02,1.5648748186273709e-01
1.3300000000000001e+00,42,7.2314358461315204e-03,1.2567771484188595e-01
1.3300000000000001e+00,50,1.4222844788539329e-02,1.4953320340899262e-01
1.3300000000000001e+00,56,3.8590873653159413e-03,1.1142989013286360e-01
1.3300000000000001e+00,84,4.3460189129718441e-03,1.3485632995050714e-01
1.3300000000000001e+00,90,6.9160275482546690e-03,1.2416389611275465e-01
1.3300000000000001e+00,182,6.2030531945952011e-03,1.1581483847100825e-01
