group,label,v_c,well,tau,E0,R_A,depth_mean_A,num_scored,nbar_det,n1_solv,w1_solv,midHot,deepKE,supp,trap,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_n,KE2_n,KE1_r100,KE1_rmed,KE2_r,md_gate
g4finals,b031,6.0,eb1168,6.4,0.31,-,-,1594,4.262860727728984,0.17708333333333334,1.1133921152637147,0.5198246903448046,0.7315895404986594,0.03638644918444166,0.203,0.5226165281286119,0.5175198084658292,0.48124999999999996,0.3643938419234359,0.36402296105177134,0.39375,272,270,0.5226165281286119,0.46331252493671277,0.5161385862938186,0
g4finals,x345,5.5,eb1168,4.8,0.345,-,-,1815,4.781818181818182,0.14914285714285713,0.9664071189398721,1.1549495455544356,0.49847122108174013,0.03581267217630854,0.0925,0.7673763034713461,0.7636728116465626,0.7437499999999999,0.660649912457657,0.661552448602161,0.65625,261,272,0.7673763034713461,0.6802981413753069,0.9357647485235936,0
g4finals,h345,5.5,eb1168,5.2,0.345,-,-,1816,4.04295154185022,0.1941747572815534,0.8916527600481265,0.9451619775146588,0.4320720897147486,0.09251101321585903,0.092,0.7030660118871855,0.6989728844384864,0.65625,0.5938524227476737,0.5968138068538198,0.5687499999999999,320,300,0.7030660118871855,0.623285471531193,0.8411507404357985,1
g4finals,h350,5.5,eb1168,5.2,0.35,-,-,1817,3.8772702256466705,0.20951792336217553,0.884337900861434,0.8967742582901765,0.44063175390545145,0.10952118877270225,0.0915,0.684778463018176,0.684938621540604,0.65625,0.5756977114343667,0.5739349918571884,0.5687499999999999,339,303,0.684778463018176,0.6070731055125674,0.8154358518900378,1
g4finals,h355,5.5,eb1168,5.2,0.355,-,-,1820,3.7324175824175825,0.22243346007604564,0.872457925739977,0.858550969117295,0.5002443150191347,0.13296703296703297,0.09,0.6650797935149027,0.6624261847441402,0.65625,0.5591026364258431,0.5581853523662045,0.5687499999999999,351,284,0.6650797935149027,0.58960974602385,0.7919300799232906,0
g4finals,h375,5.5,eb1168,4.8,0.375,-,-,1821,3.889071938495332,0.21414790996784566,0.7468200874917003,0.9256744493649027,0.5848635236639474,0.14607358594179023,0.0895,0.6592538641197361,0.6554954297449714,0.65625,0.5606728324385398,0.5607451237055929,0.5687499999999999,333,265,0.6592538641197361,0.584444914999766,0.7941541535956655,1
g4finals,h380,5.5,eb1168,4.8,0.38,-,-,1822,3.7689352360043906,0.2202380952380953,0.7333335531852335,0.895363431658865,0.5768654109732931,0.17014270032930845,0.089,0.6417527139138115,0.6417320638043444,0.65625,0.5470272047722973,0.5488282241323821,0.5687499999999999,333,244,0.6417527139138115,0.5689297109164996,0.7748260690825741,0
g4finals,h405,5.5,eb1168,4.4,0.405,-,-,1826,3.955093099671413,0.2077747989276139,0.7089318221187305,0.9566615105432767,0.6026417353201636,0.1829134720700986,0.087,0.6370439100162096,0.638585022515015,0.65625,0.5508574484962794,0.5503173238722011,0.5687499999999999,310,230,0.6370439100162096,0.5647552393760724,0.7802513434791493,1
g4finals,h410,5.5,eb1168,4.4,0.41,-,-,1829,3.8616730453799892,0.21189336978810663,0.6743743096439038,0.930561961886892,0.5695461593106583,0.2001093493712411,0.0855,0.6251214868547046,0.6269087884401761,0.65625,0.5397162568112287,0.5423382852397374,0.5687499999999999,310,222,0.6251214868547046,0.554185715296724,0.7644706187127885,1
g4finals,h415,5.5,eb1168,4.4,0.415,-,-,1829,3.7528704209950794,0.21473684210526317,0.6693344372356105,0.9061148259976484,0.5483595448043107,0.22088572990705305,0.0855,0.6116582313671048,0.6105406011687282,0.5687499999999999,0.5278157705505652,0.5288093135566901,0.5687499999999999,306,211,0.6116582313671048,0.5422502051126816,0.7476144058789875,0
g4finals,v525,5.25,eb1168,4.4,0.39,-,-,1904,3.9936974789915967,0.20838471023427865,0.7273998667536425,1.3935630846983975,0.6556746822206081,0.148109243697479,0.048,0.7744192849915259,0.7735450660333759,0.7437499999999999,0.6964138958877666,0.6975361896271919,0.65625,338,257,0.7744192849915259,0.6865419193187287,0.9864219488495278,1
h405bat,s1,5.5,eb1168,4.4,0.405,-,-,1827,3.8264915161466884,0.21345229924502404,0.8012917154689432,0.9343883681741149,0.5758557380345111,0.2025177887246853,0.0865,0.6435239722333034,0.6413444934139823,0.65625,0.5457367035721171,0.5472494117493771,0.5687499999999999,311,198,0.6435239722333034,0.5704999753841342,0.7729981636998826,1
h405bat,s2,5.5,eb1168,4.4,0.405,-,-,1864,3.819206008583691,0.2211155378486056,0.7290995871622195,0.9432762864192353,0.5386903167948198,0.19206008583690987,0.068,0.637146644671953,0.6377928620255571,0.65625,0.5494455201809991,0.5532711439113266,0.5687499999999999,333,226,0.637146644671953,0.56484631619854,0.7782514450155795,1
h405bat,s3,5.5,eb1168,4.4,0.405,-,-,1855,3.891644204851752,0.19933333333333336,0.7979309284636817,0.947622185915397,0.5241597672583238,0.19137466307277629,0.0725,0.6409106625220005,0.6420528015162554,0.65625,0.5510106116725352,0.5510796005943533,0.5687499999999999,299,229,0.6409106625220005,0.5681832114556742,0.7804682884880102,1
h405bat,s4,5.5,eb1168,4.4,0.405,-,-,1848,3.9063852813852815,0.1954022988505747,0.7633197046638158,0.956972557683335,0.50612689220119,0.19967532467532467,0.076,0.6386479336856017,0.63781596190642,0.65625,0.5515011573930998,0.5537000212485977,0.5687499999999999,289,240,0.6386479336856017,0.5661772461751788,0.7811631124548156,1
h405bat,s5,5.5,eb1168,4.4,0.405,-,-,1826,3.9403066812705365,0.21774193548387097,0.735645982227121,0.949028575986429,0.49797426237439396,0.1851040525739321,0.087,0.6428966300748156,0.6403606018879764,0.65625,0.5480762807330413,0.5436422319579461,0.5687499999999999,324,239,0.6428966300748156,0.5699438209883118,0.7763120123697469,1
h405bat,pooled,5.5,eb1168,4.4,0.405,-,-,9220,3.8766811279826463,0.20942126514131898,0.7652750289571781,0.9464441434091144,0.5034665347090981,0.19414316702819956,0.078,0.6406207179394441,0.6395096236561473,0.65625,0.5492601535430535,0.5497780374348888,0.5687499999999999,1556,1132,0.6406207179394441,0.567926168386032,0.7779888860383194,1
