ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
rq4graded,6.75,3.2,0.25,6000,7,0.0474,0.4169
rq4graded,6.75,3.2,0.25,6000,8,0.0414,0.3367
rq4graded,6.75,3.2,0.25,6000,9,0.033,0.2492
rq4graded,6.75,3.2,0.25,6000,10,0.0318,0.2098
rq4graded,6.75,3.2,0.25,6000,11,0.0283,0.1626
rq4graded,6.75,3.2,0.25,6000,12,0.0238,0.1225
rq4graded,6.75,3.2,0.25,6000,13,0.0218,0.1091
rq4graded,6.75,3.2,0.25,6000,14,0.015,0.0938
rq4graded,6.75,3.2,0.25,6000,15,0.0129,0.0739
rq4graded,6.75,3.2,0.25,6000,16,0.0074,0.0634
rq4graded,6.75,3.2,0.25,6000,17,0.0056,0.0538
rq4graded,6.75,3.2,0.25,6000,18,0.0038,0.0406
rq4graded,6.75,3.2,0.25,6000,19,0.0017,0.0229
floor1,6.75,3.2,0.27,6000,0,0.3318,1.2911
floor1,6.75,3.2,0.27,6000,1,0.1275,0.9793
floor1,6.75,3.2,0.27,6000,2,0.076,0.841
floor1,6.75,3.2,0.27,6000,3,0.066,0.7383
floor1,6.75,3.2,0.27,6000,4,0.0597,0.6331
floor1,6.75,3.2,0.27,6000,5,0.0527,0.5216
floor1,6.75,3.2,0.27,6000,6,0.0476,0.4222
floor1,6.75,3.2,0.27,6000,7,0.0405,0.3445
floor1,6.75,3.2,0.27,6000,8,0.0333,0.2601
floor1,6.75,3.2,0.27,6000,9,0.0309,0.2194
floor1,6.75,3.2,0.27,6000,10,0.0266,0.1746
floor1,6.75,3.2,0.27,6000,11,0.0249,0.1435
floor1,6.75,3.2,0.27,6000,12,0.0226,0.107
floor1,6.75,3.2,0.27,6000,13,0.0187,0.1005
floor1,6.75,3.2,0.27,6000,14,0.0134,0.0786
floor1,6.75,3.2,0.27,6000,15,0.0114,0.0677
floor1,6.75,3.2,0.27,6000,16,0.006,0.0543
floor1,6.75,3.2,0.27,6000,17,0.0051,0.0496
floor1,6.75,3.2,0.27,6000,18,0.0031,0.0368
rq4graded,6.75,3.2,0.27,6000,0,0.211,1.3835
rq4graded,6.75,3.2,0.27,6000,1,0.2034,1.1026
rq4graded,6.75,3.2,0.27,6000,2,0.1144,0.8822
rq4graded,6.75,3.2,0.27,6000,3,0.0828,0.7341
rq4graded,6.75,3.2,0.27,6000,4,0.057,0.616
rq4graded,6.75,3.2,0.27,6000,5,0.0529,0.5012
rq4graded,6.75,3.2,0.27,6000,6,0.0449,0.4129
rq4graded,6.75,3.2,0.27,6000,7,0.0399,0.3368
rq4graded,6.75,3.2,0.27,6000,8,0.0326,0.2537
rq4graded,6.75,3.2,0.27,6000,9,0.0287,0.2195
rq4graded,6.75,3.2,0.27,6000,10,0.0271,0.171
rq4graded,6.75,3.2,0.27,6000,11,0.0242,0.1437
rq4graded,6.75,3.2,0.27,6000,12,0.0219,0.1069
rq4graded,6.75,3.2,0.27,6000,13,0.0185,0.101
rq4graded,6.75,3.2,0.27,6000,14,0.0135,0.0774
