leg,config,n,weight,mean_KE_eV
s2,s2c4v85t38e27,19,0.0028,0.0328
s2,s2c4v85t38e27,20,0.0007,0.0198
s2,s2c4v85t44e21,1,0.1534,1.112
s2,s2c4v85t44e21,2,0.1201,0.7404
s2,s2c4v85t44e21,3,0.0956,0.5064
s2,s2c4v85t44e21,4,0.0832,0.3827
s2,s2c4v85t44e21,5,0.0734,0.3034
s2,s2c4v85t44e21,6,0.064,0.2549
s2,s2c4v85t44e21,7,0.0611,0.2158
s2,s2c4v85t44e21,8,0.0569,0.1825
s2,s2c4v85t44e21,9,0.0522,0.153
s2,s2c4v85t44e21,10,0.0498,0.129
s2,s2c4v85t44e21,11,0.0443,0.1092
s2,s2c4v85t44e21,12,0.0394,0.0939
s2,s2c4v85t44e21,13,0.032,0.0859
s2,s2c4v85t44e21,14,0.0261,0.0754
s2,s2c4v85t44e21,15,0.0184,0.0695
s2,s2c4v85t44e21,16,0.013,0.0579
s2,s2c4v85t44e21,17,0.0096,0.047
s2,s2c4v85t44e21,18,0.0051,0.0369
s2,s2c4v85t44e21,19,0.0022,0.0294
s2,s2c4v85t44e23,0,0.1398,1.1022
s2,s2c4v85t44e23,1,0.1648,0.7016
s2,s2c4v85t44e23,2,0.0868,0.4446
s2,s2c4v85t44e23,3,0.0736,0.3484
s2,s2c4v85t44e23,4,0.0683,0.2853
s2,s2c4v85t44e23,5,0.0592,0.2422
s2,s2c4v85t44e23,6,0.0553,0.2101
s2,s2c4v85t44e23,7,0.0546,0.1771
s2,s2c4v85t44e23,8,0.0471,0.1531
s2,s2c4v85t44e23,9,0.0465,0.1312
s2,s2c4v85t44e23,10,0.0429,0.1107
s2,s2c4v85t44e23,11,0.0388,0.0932
s2,s2c4v85t44e23,12,0.0339,0.0843
s2,s2c4v85t44e23,13,0.0267,0.075
s2,s2c4v85t44e23,14,0.0223,0.0688
s2,s2c4v85t44e23,15,0.0144,0.063
s2,s2c4v85t44e23,16,0.0112,0.0527
s2,s2c4v85t44e23,17,0.0077,0.0426
s2,s2c4v85t44e23,18,0.0043,0.034
s2,s2c4v85t44e23,19,0.0016,0.0273
s2,s2c4v85t44e25,0,0.2915,0.8926
s2,s2c4v85t44e25,1,0.1191,0.429
s2,s2c4v85t44e25,2,0.0673,0.3202
s2,s2c4v85t44e25,3,0.0617,0.2692
s2,s2c4v85t44e25,4,0.0564,0.2326
s2,s2c4v85t44e25,5,0.05,0.2019
s2,s2c4v85t44e25,6,0.0512,0.1723
s2,s2c4v85t44e25,7,0.0439,0.1532
s2,s2c4v85t44e25,8,0.0441,0.1321
s2,s2c4v85t44e25,9,0.0404,0.1136
s2,s2c4v85t44e25,10,0.0367,0.0944
s2,s2c4v85t44e25,11,0.0352,0.0829
s2,s2c4v85t44e25,12,0.0284,0.0761
s2,s2c4v85t44e25,13,0.023,0.0694
s2,s2c4v85t44e25,14,0.0187,0.062
s2,s2c4v85t44e25,15,0.0118,0.0574
s2,s2c4v85t44e25,16,0.0093,0.0458
s2,s2c4v85t44e25,17,0.0065,0.0399
s2,s2c4v85t44e25,18,0.0036,0.0325
s2,s2c4v85t44e25,19,0.0013,0.0243
s2,s2c4v85t44e27,0,0.395,0.7716
s2,s2c4v85t44e27,1,0.094,0.3145
s2,s2c4v85t44e27,2,0.0561,0.2527
s2,s2c4v85t44e27,3,0.0531,0.2228
s2,s2c4v85t44e27,4,0.0466,0.1969
s2,s2c4v85t44e27,5,0.047,0.17
s2,s2c4v85t44e27,6,0.0422,0.1499
s2,s2c4v85t44e27,7,0.0404,0.1338
s2,s2c4v85t44e27,8,0.039,0.1146
s2,s2c4v85t44e27,9,0.0344,0.0985
s2,s2c4v85t44e27,10,0.0345,0.0851
s2,s2c4v85t44e27,11,0.0305,0.0747
s2,s2c4v85t44e27,12,0.0241,0.0682
s2,s2c4v85t44e27,13,0.0207,0.0627
s2,s2c4v85t44e27,14,0.0148,0.0582
s2,s2c4v85t44e27,15,0.0105,0.053
s2,s2c4v85t44e27,16,0.0084,0.0416
s2,s2c4v85t44e27,17,0.0049,0.0362
s2,s2c4v85t44e27,18,0.003,0.0306
s2,s2c4v85t44e27,19,0.0009,0.0215
s2,s2c4v85t50e21,0,0.0034,1.4025
s2,s2c4v85t50e21,1,0.1976,1.035
s2,s2c4v85t50e21,2,0.1212,0.6186
s2,s2c4v85t50e21,3,0.0973,0.424
s2,s2c4v85t50e21,4,0.0813,0.3255
s2,s2c4v85t50e21,5,0.073,0.264
s2,s2c4v85t50e21,6,0.064,0.2202
s2,s2c4v85t50e21,7,0.0618,0.1828
s2,s2c4v85t50e21,8,0.0536,0.1547
s2,s2c4v85t50e21,9,0.0517,0.1288
s2,s2c4v85t50e21,10,0.0447,0.1088
s2,s2c4v85t50e21,11,0.041,0.0907
s2,s2c4v85t50e21,12,0.0326,0.0823
s2,s2c4v85t50e21,13,0.0262,0.0727
s2,s2c4v85t50e21,14,0.0191,0.0654
s2,s2c4v85t50e21,15,0.0128,0.0566
s2,s2c4v85t50e21,16,0.0093,0.0457
s2,s2c4v85t50e21,17,0.0056,0.0377
s2,s2c4v85t50e21,18,0.0029,0.0308
s2,s2c4v85t50e21,19,0.0008,0.0204
s2,s2c4v85t50e23,0,0.1901,1.0291
s2,s2c4v85t50e23,1,0.1645,0.5827
s2,s2c4v85t50e23,2,0.0875,0.3738
s2,s2c4v85t50e23,3,0.0745,0.2965
s2,s2c4v85t50e23,4,0.0651,0.245
s2,s2c4v85t50e23,5,0.0593,0.2103
s2,s2c4v85t50e23,6,0.0578,0.1749
s2,s2c4v85t50e23,7,0.0487,0.1516
s2,s2c4v85t50e23,8,0.0478,0.1288
s2,s2c4v85t50e23,9,0.0426,0.1083
s2,s2c4v85t50e23,10,0.0389,0.0906
s2,s2c4v85t50e23,11,0.0347,0.0802
s2,s2c4v85t50e23,12,0.0264,0.0721
s2,s2c4v85t50e23,13,0.0226,0.0636
s2,s2c4v85t50e23,14,0.0142,0.0599
s2,s2c4v85t50e23,15,0.0106,0.0512
s2,s2c4v85t50e23,16,0.0078,0.0409
s2,s2c4v85t50e23,17,0.0043,0.0332
s2,s2c4v85t50e23,18,0.0022,0.028
s2,s2c4v85t50e25,0,0.3438,0.8282
s2,s2c4v85t50e25,1,0.1172,0.359
s2,s2c4v85t50e25,2,0.0674,0.2737
s2,s2c4v85t50e25,3,0.0623,0.2304
s2,s2c4v85t50e25,4,0.0536,0.1996
s2,s2c4v85t50e25,5,0.0532,0.1686
s2,s2c4v85t50e25,6,0.0458,0.1474
s2,s2c4v85t50e25,7,0.0446,0.1282
s2,s2c4v85t50e25,8,0.04,0.1096
s2,s2c4v85t50e25,9,0.0369,0.0911
s2,s2c4v85t50e25,10,0.0353,0.0787
s2,s2c4v85t50e25,11,0.0278,0.0709
s2,s2c4v85t50e25,12,0.0227,0.065
s2,s2c4v85t50e25,13,0.0175,0.0577
s2,s2c4v85t50e25,14,0.0115,0.054
s2,s2c4v85t50e25,15,0.0088,0.0426
s2,s2c4v85t50e25,16,0.0064,0.038
s2,s2c4v85t50e25,17,0.0036,0.0318
s2,s2c4v85t50e25,18,0.0015,0.0242
s2,s2c4v85t50e27,0,0.447,0.7201
s2,s2c4v85t50e27,1,0.0915,0.2674
s2,s2c4v85t50e27,2,0.058,0.2179
s2,s2c4v85t50e27,3,0.0503,0.1911
s2,s2c4v85t50e27,4,0.0491,0.1635
s2,s2c4v85t50e27,5,0.0428,0.1436
s2,s2c4v85t50e27,6,0.0423,0.1271
s2,s2c4v85t50e27,7,0.0385,0.1089
s2,s2c4v85t50e27,8,0.0339,0.0932
s2,s2c4v85t50e27,9,0.0337,0.0803
s2,s2c4v85t50e27,10,0.0297,0.0697
s2,s2c4v85t50e27,11,0.0238,0.0632
s2,s2c4v85t50e27,12,0.0195,0.0585
s2,s2c4v85t50e27,13,0.0136,0.0522
s2,s2c4v85t50e27,14,0.0097,0.0491
s2,s2c4v85t50e27,15,0.0077,0.0389
s2,s2c4v85t50e27,16,0.0046,0.0338
s2,s2c4v85t50e27,17,0.003,0.0295
s2,s2c4v85t50e27,18,0.0011,0.0224
s2,s2c2v65t32e21,1,0.0306,1.3892
s2,s2c2v65t32e21,2,0.1384,1.1546
s2,s2c2v65t32e21,3,0.1248,0.8989
s2,s2c2v65t32e21,4,0.087,0.7232
s2,s2c2v65t32e21,5,0.0783,0.604
s2,s2c2v65t32e21,6,0.07,0.4863
s2,s2c2v65t32e21,7,0.0625,0.4045
s2,s2c2v65t32e21,8,0.0606,0.3236
s2,s2c2v65t32e21,9,0.0529,0.2679
s2,s2c2v65t32e21,10,0.0502,0.2134
s2,s2c2v65t32e21,11,0.0477,0.1772
s2,s2c2v65t32e21,12,0.0443,0.1415
s2,s2c2v65t32e21,13,0.0401,0.1207
s2,s2c2v65t32e21,14,0.0326,0.1088
s2,s2c2v65t32e21,15,0.0272,0.0931
s2,s2c2v65t32e21,16,0.0197,0.0831
s2,s2c2v65t32e21,17,0.0145,0.0674
s2,s2c2v65t32e21,18,0.0107,0.0537
s2,s2c2v65t32e21,19,0.0056,0.0438
s2,s2c2v65t32e21,20,0.0021,0.0327
s2,s2c2v65t40e24,0,0.0579,1.2947
s2,s2c2v65t40e24,1,0.2457,0.9577
s2,s2c2v65t40e24,2,0.1345,0.6328
s2,s2c2v65t40e24,3,0.095,0.4623
s2,s2c2v65t40e24,4,0.0632,0.3599
s2,s2c2v65t40e24,5,0.0563,0.2907
s2,s2c2v65t40e24,6,0.0506,0.2406
s2,s2c2v65t40e24,7,0.0455,0.2002
s2,s2c2v65t40e24,8,0.043,0.1693
s2,s2c2v65t40e24,9,0.038,0.1415
s2,s2c2v65t40e24,10,0.0368,0.1163
s2,s2c2v65t40e24,11,0.0338,0.0966
s2,s2c2v65t40e24,12,0.0275,0.084
s2,s2c2v65t40e24,13,0.0234,0.0751
s2,s2c2v65t40e24,14,0.0158,0.0691
s2,s2c2v65t40e24,15,0.0127,0.0567
s2,s2c2v65t40e24,16,0.0093,0.0464
s2,s2c2v65t40e24,17,0.0063,0.0379
s2,s2c2v65t40e24,18,0.0035,0.0337
s2,s2c2v65t40e24,19,0.0012,0.0262
s2,s2c2v65t50e27,0,0.3872,0.9244
s2,s2c2v65t50e27,1,0.177,0.4518
s2,s2c2v65t50e27,2,0.0866,0.2826
s2,s2c2v65t50e27,3,0.064,0.2112
s2,s2c2v65t50e27,4,0.0445,0.1738
s2,s2c2v65t50e27,5,0.039,0.1476
s2,s2c2v65t50e27,6,0.0338,0.1244
s2,s2c2v65t50e27,7,0.0329,0.1076
s2,s2c2v65t50e27,8,0.0303,0.0885
s2,s2c2v65t50e27,9,0.0267,0.0728
s2,s2c2v65t50e27,10,0.0223,0.0643
s2,s2c2v65t50e27,11,0.0169,0.0562
s2,s2c2v65t50e27,12,0.0123,0.0526
s2,s2c2v65t50e27,13,0.0097,0.0412
s2,s2c2v65t50e27,14,0.0075,0.0376
s2,s2c2v65t50e27,15,0.0048,0.0311
s2,s2c2v65t50e27,16,0.0029,0.0295
s2,s2c2v65t50e27,17,0.0012,0.024
