leg,ladder,v_c,p_tail,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,trapped_frac,suppressed_frac,nbar_det,pred_md_nbar,n1_solv,w1_solv,midhot_geo,deepke,n1_ke_eV,S_measured,S_provisional,gate_n1,gate_nbar,gate,pareto
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.385,20000,0.9732,0.0268,0.1393,4.475,3.99,0.2057,0.5203,1.5636,1.2242,0.7756,21.4677,5.5569,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.8,1,0.3,20000,0.9113,0.0887,0.0437,4.412,3.942,0.2199,0.6032,0.6404,0.4248,0.6004,21.5491,10.371,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.0,0,0.415,20000,0.9614,0.0386,0.157,4.57,4.063,0.1942,0.6765,1.5586,1.277,0.7474,21.5879,6.1094,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.0,0,0.33,20000,0.9113,0.0887,0.1101,4.358,3.901,0.2327,0.4631,0.6351,0.48,0.5434,21.6878,9.3112,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.4,20000,0.9113,0.0887,0.2288,4.414,3.944,0.2137,0.9148,0.6455,0.5975,0.4661,21.7196,8.4184,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,6.0,0,0.305,20000,0.9945,0.0055,0.03,4.495,4.005,0.2006,0.6426,1.5683,1.0288,0.8868,21.8152,4.5481,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.4,0,0.4,20000,0.9945,0.0055,0.2028,4.306,3.861,0.2223,0.5124,1.5775,1.4875,0.7735,21.8592,6.9998,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.33,20000,0.9732,0.0268,0.0471,4.599,4.085,0.1918,0.6711,1.5698,0.9481,0.8372,21.9098,4.7831,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.4,0,0.375,20000,0.9614,0.0386,0.0979,4.662,4.133,0.1924,0.6597,1.5724,1.1099,0.7825,21.9665,5.1402,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,5.2,0,0.385,20000,0.9818,0.0182,0.2408,4.85,4.276,0.2145,1.5002,0.656,0.8357,0.4796,21.9906,6.9279,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,5.6,0,0.35,20000,0.9113,0.0887,0.1552,4.326,3.876,0.2302,0.4969,0.6308,0.5056,0.5121,22.0629,9.0478,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,5.2,0,0.365,20000,0.8749,0.1251,0.1608,4.213,3.79,0.223,0.6158,0.6335,0.5094,0.4962,22.0664,9.17,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.2,0,0.34,20000,0.9945,0.0055,0.0902,4.47,3.986,0.2199,0.4132,1.594,1.2409,0.8399,22.1687,5.6039,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.8,0,0.365,20000,0.9945,0.0055,0.1383,4.423,3.951,0.221,0.3752,1.5969,1.3615,0.8108,22.1846,6.2138,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.4,0,0.315,20000,0.9113,0.0887,0.0802,4.335,3.884,0.2334,0.5028,0.6288,0.4363,0.5657,22.2195,10.1347,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,6.8,1,0.295,20000,0.8749,0.1251,0.0251,4.313,3.867,0.1989,0.8588,0.6371,0.3829,0.6088,22.2312,11.5995,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.6,0,0.32,20000,0.9945,0.0055,0.0523,4.51,4.017,0.2106,0.5239,1.5898,1.1298,0.8674,22.2371,5.1076,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,4.8,0,0.415,20000,0.9818,0.0182,0.2754,4.913,4.324,0.2024,1.8914,0.6611,0.8969,0.4576,22.3092,7.0522,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.0,0,0.42,20000,0.9732,0.0268,0.1755,4.559,4.054,0.1979,0.6611,1.5939,1.4385,0.7568,22.594,7.0952,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.38,20000,0.9732,0.0268,0.1179,4.624,4.103,0.1998,0.5538,1.6017,1.2626,0.7897,22.6325,6.0087,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,6.0,0,0.325,20000,0.8749,0.1251,0.0862,4.206,3.785,0.2276,0.6485,0.6251,0.4355,0.5472,22.7394,10.4452,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,4.8,0,0.395,20000,0.8749,0.1251,0.2127,4.163,3.752,0.2176,0.7101,0.6257,0.5367,0.463,22.8017,9.0509,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.375,20000,0.9113,0.0887,0.2044,4.285,3.846,0.2255,0.6505,0.6239,0.5326,0.4794,22.8321,9.0229,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.35,20000,0.9732,0.0268,0.0715,4.679,4.146,0.1937,0.6063,1.606,1.1092,0.8203,22.8454,5.1926,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.4,0,0.395,20000,0.9945,0.0055,0.1812,4.437,3.961,0.2177,0.5299,1.6139,1.522,0.7869,22.9413,7.3582,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.0,0,0.345,20000,0.9818,0.0182,0.1887,4.656,4.128,0.2388,0.8498,0.6264,0.719,0.5102,22.9921,7.1956,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.8,1,0.315,20000,0.9818,0.0182,0.124,4.582,4.071,0.2525,0.3478,0.6142,0.6323,0.5535,23.0283,7.376,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,5.6,0,0.365,20000,0.9818,0.0182,0.2243,4.695,4.158,0.2279,1.1637,0.6312,0.7689,0.4877,23.1794,7.2099,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,6.4,0,0.31,20000,0.8749,0.1251,0.0558,4.208,3.786,0.2234,0.7418,0.621,0.4381,0.572,23.2023,10.6129,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,5.6,0,0.345,20000,0.8749,0.1251,0.1312,4.139,3.734,0.2318,0.5911,0.617,0.456,0.5136,23.2379,10.1078,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.405,20000,0.9113,0.0887,0.2494,4.291,3.85,0.2164,0.9108,0.6234,0.5848,0.4512,23.3188,8.8146,1,1,1,0
